% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.062	0	0	7	3	6	28	9422	0	0	0
0.063	0	0	7	4	11	28	9422	0	0	0
0.064	0	0	7	5	14	28	9422	0	0	0
0.065	0	0	7	6	19	28	9422	0	0	0
0.066	0	0	7	7	22	28	9422	0	0	0
0.067	0	0	7	8	17	28	9422	0	0	0
0.068	0	0	7	9	21	28	9422	0	0	0
0.069	0	0	7	10	13	28	9422	0	0	0
0.07	0	0	8	1	28	28	9422	0	0	0
0.071	0	0	8	2	29	28	9422	0	0	0
0.072	0	0	8	3	11	28	9422	0	0	0
0.073	0	0	8	4	2	28	9422	0	0	0
0.074	0	0	8	5	3	28	9422	0	0	0
0.075	0	0	8	6	4	28	9422	0	0	0
0.076	0	0	8	7	7	28	9422	0	0	0
0.077	0	0	8	8	8	28	9422	0	0	0
0.078	0	0	8	9	27	28	9422	0	0	0
0.079	0	0	8	10	6	28	9422	0	0	0
0.08	0	0	9	1	14	28	9422	0	0	0
0.081	0	0	9	2	19	28	9422	0	0	0
0.082	0	0	9	3	22	28	9422	0	0	0
0.083	0	0	9	4	17	28	9422	0	0	0
0.084	0	0	9	5	5	28	9422	0	0	0
0.085	0	0	9	6	10	28	9422	0	0	0
0.086	0	0	9	7	15	28	9422	0	0	0
0.087	0	0	9	8	18	28	9422	0	0	0
0.088	0	0	9	9	24	28	9422	0	0	0
0.089	0	0	9	10	30	28	9422	0	0	0
0.09	0	0	10	1	21	28	9422	0	0	0
0.091	0	0	10	2	13	28	9422	0	0	0
0.092	0	0	10	3	28	28	9422	0	0	0
0.093	0	0	10	4	29	28	9422	0	0	0
0.094	0	0	10	5	4	28	9422	0	0	0
0.095	0	0	10	6	7	28	9422	0	0	0
0.096	0	0	10	7	1	28	9422	0	0	0
0.097	0	0	10	8	27	28	9422	0	0	0
0.098	0	0	10	9	5	28	9422	0	0	0
0.099	0	0	10	10	30	28	9422	0	0	0
0.1	0	0	11	1	11	28	9422	0	0	0
0.101	0	0	11	2	6	28	9422	0	0	0
0.102	0	0	11	3	14	28	9422	0	0	0
0.103	0	0	11	4	19	28	9422	0	0	0
0.104	0	0	11	5	22	28	9422	0	0	0
0.105	0	0	11	6	17	28	9422	0	0	0
0.106	0	0	11	7	21	28	9422	0	0	0
0.107	0	0	11	8	9	28	9422	0	0	0
0.108	0	0	11	9	23	28	9422	0	0	0
0.109	0	0	11	10	26	28	9422	0	0	0
0.11	0	0	12	1	8	28	9422	0	0	0
0.111	0	0	12	2	10	28	9422	0	0	0
0.112	0	0	12	3	18	28	9422	0	0	0
0.113	0	0	12	4	1	28	9422	0	0	0
0.114	0	0	12	5	13	28	9422	0	0	0
0.115	0	0	12	6	28	28	9422	0	0	0
0.116	0	0	12	7	29	28	9422	0	0	0
0.117	0	0	12	8	4	28	9422	0	0	0
0.118	0	0	12	9	7	28	9422	0	0	0
0.119	0	0	12	10	3	28	9422	0	0	0
0.12	0	0	13	1	27	28	9422	0	0	0
0.121	0	0	13	2	5	28	9422	0	0	0
0.122	0	0	13	3	30	28	9422	0	0	0
0.123	0	0	13	4	1	28	9422	0	0	0
0.124	0	0	13	5	11	28	9422	0	0	0
0.125	0	0	13	6	6	28	9422	0	0	0
0.126	0	0	13	7	14	28	9422	0	0	0
0.127	0	0	13	8	19	28	9422	0	0	0
0.128	0	0	13	9	22	28	9422	0	0	0
0.129	0	0	13	10	17	28	9422	0	0	0
0.13	0	0	14	1	20	28	9422	0	0	0
0.131	0	0	14	2	9	28	9422	0	0	0
0.132	0	0	14	3	23	28	9422	0	0	0
0.133	0	0	14	4	26	28	9422	0	0	0
0.134	0	0	14	5	21	28	9422	0	0	0
0.135	0	0	14	6	13	28	9422	0	0	0
0.136	0	0	14	7	28	28	9422	0	0	0
0.137	0	0	14	8	29	28	9422	0	0	0
0.138	0	0	14	9	4	28	9422	0	0	0
0.139	0	0	14	10	7	28	9422	0	0	0
0.14	0	0	15	1	30	28	9422	0	0	0
0.141	0	0	15	2	1	28	9422	0	0	0
0.142	0	0	15	3	2	28	9422	0	0	0
0.143	0	0	15	4	10	28	9422	0	0	0
0.144	0	0	15	5	3	28	9422	0	0	0
0.145	0	0	15	6	27	28	9422	0	0	0
0.146	0	0	15	7	5	28	9422	0	0	0
0.147	0	0	15	8	11	28	9422	0	0	0
0.148	0	0	15	9	6	28	9422	0	0	0
0.149	0	0	15	10	14	28	9422	0	0	0
0.15	0	0	16	1	19	28	9422	0	0	0
0.151	0	0	16	2	22	28	9422	0	0	0
0.152	0	0	16	3	17	28	9422	0	0	0
0.153	0	0	16	4	15	28	9422	0	0	0
0.154	0	0	16	5	24	28	9422	0	0	0
0.155	0	0	16	6	20	28	9422	0	0	0
0.156	0	0	16	7	18	28	9422	0	0	0
0.157	0	0	16	8	2	28	9422	0	0	0
0.158	0	0	16	9	9	28	9422	0	0	0
0.159	0	0	16	10	23	28	9422	0	0	0
0.16	0	0	17	1	26	28	9422	0	0	0
0.161	0	0	17	2	10	28	9422	0	0	0
0.162	0	0	17	3	21	28	9422	0	0	0
0.163	0	0	17	4	13	28	9422	0	0	0
0.164	0	0	17	5	28	28	9422	0	0	0
0.165	0	0	17	6	8	28	9422	0	0	0
0.166	0	0	17	7	2	28	9422	0	0	0
0.167	0	0	17	8	29	28	9422	0	0	0
0.168	0	0	17	9	27	28	9422	0	0	0
0.169	0	0	17	10	30	28	9422	0	0	0
