% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.028	1	0	28	486.674	0
0.321	1	0	1	492.566	0
0.322	1	0	2	5300.96	0
0.323	1	0	3	324.552	0
0.324	1	0	4	525.01	0
0.325	1	0	5	309.346	0
0.326	1	0	6	1314.03	0
0.327	1	0	7	372.994	0
0.328	1	0	8	436.179	0
0.329	1	0	9	510.741	0
0.33	1	0	10	367.511	0
0.331	1	0	11	435.019	0
0.332	1	0	12	4324.87	0
0.333	1	0	13	385.002	0
0.334	1	0	14	5324.96	0
0.335	1	0	15	602.506	0
0.336	1	0	16	333.861	0
0.337	1	0	17	371.34	0
0.338	1	0	18	481.201	0
0.339	1	0	19	1271.2	0
0.34	1	0	20	484.654	0
0.341	1	0	21	2475.84	0
0.342	1	0	22	444.447	0
0.343	1	0	23	410.331	0
0.344	1	0	24	275.405	0
0.345	1	0	25	1062.33	0
0.346	1	0	26	651.725	0
0.347	1	0	27	758.691	0
0.348	1	0	28	485.177	0
0.349	1	0	29	1012.29	0
0.35	1	0	30	308.013	0
0.641	1	0	1	490.579	0
0.642	1	0	2	5306.66	0
0.643	1	0	3	325.44	0
0.644	1	0	4	533.511	0
0.645	1	0	5	309.525	0
0.646	1	0	6	1313.93	0
0.647	1	0	7	377.724	0
0.648	1	0	8	436.963	0
0.649	1	0	9	510.741	0
0.65	1	0	10	364.253	0
0.651	1	0	11	435.125	0
0.652	1	0	12	4324.87	0
0.653	1	0	13	385.352	0
0.654	1	0	14	5324.96	0
0.655	1	0	15	602.506	0
0.656	1	0	16	333.861	0
0.657	1	0	17	371.911	0
0.658	1	0	18	481.201	0
0.659	1	0	19	1265.69	0
0.66	1	0	20	484.654	0
0.661	1	0	21	2473.8	0
0.662	1	0	22	444.27	0
0.663	1	0	23	410.331	0
0.664	1	0	24	275.405	0
0.665	1	0	25	1062.33	0
0.666	1	0	26	651.725	0
0.667	1	0	27	759.514	0
0.668	1	0	28	483.686	0
0.669	1	0	29	1012.23	0
0.67	1	0	30	307.041	0
0.961	1	0	1	488.603	0
0.962	1	0	2	5310.34	0
0.963	1	0	3	326.327	0
0.964	1	0	4	542.207	0
0.965	1	0	5	309.701	0
0.966	1	0	6	1313.83	0
0.967	1	0	7	382.543	0
0.968	1	0	8	437.745	0
0.969	1	0	9	510.741	0
0.97	1	0	10	361.034	0
0.971	1	0	11	435.231	0
0.972	1	0	12	4324.87	0
0.973	1	0	13	385.704	0
0.974	1	0	14	5324.96	0
0.975	1	0	15	602.506	0
0.976	1	0	16	333.861	0
0.977	1	0	17	372.483	0
0.978	1	0	18	481.201	0
0.979	1	0	19	1260.22	0
0.98	1	0	20	484.654	0
0.981	1	0	21	2471.7	0
0.982	1	0	22	444.093	0
0.983	1	0	23	410.331	0
0.984	1	0	24	275.405	0
0.985	1	0	25	1062.33	0
0.986	1	0	26	651.725	0
0.987	1	0	27	760.312	0
0.988	1	0	28	482.201	0
0.989	1	0	29	1012.16	0
0.99	1	0	30	306.073	0
1.281	1	0	1	486.637	0
1.282	1	0	2	5312.83	0
1.283	1	0	3	327.211	0
1.284	1	0	4	551.104	0
1.285	1	0	5	309.875	0
1.286	1	0	6	1313.73	0
1.287	1	0	7	387.454	0
1.288	1	0	8	438.523	0
1.289	1	0	9	510.741	0
1.29	1	0	10	357.853	0
1.291	1	0	11	435.337	0
1.292	1	0	12	4324.87	0
1.293	1	0	13	386.055	0
1.294	1	0	14	5324.97	0
1.295	1	0	15	602.506	0
1.296	1	0	16	333.861	0
1.297	1	0	17	373.056	0
1.298	1	0	18	481.201	0
1.299	1	0	19	1254.78	0
1.3	1	0	20	484.654	0
1.301	1	0	21	2469.54	0
1.302	1	0	22	443.915	0
1.303	1	0	23	410.331	0
1.304	1	0	24	275.405	0
1.305	1	0	25	1062.33	0
1.306	1	0	26	651.725	0
1.307	1	0	27	761.086	0
1.308	1	0	28	480.723	0
1.309	1	0	29	1012.09	0
1.31	1	0	30	305.109	0
1.601	1	0	1	484.683	0
1.602	1	0	2	5314.6	0
1.603	1	0	3	328.093	0
1.604	1	0	4	560.209	0
1.605	1	0	5	310.046	0
1.606	1	0	6	1313.62	0
1.607	1	0	7	392.458	0
1.608	1	0	8	439.298	0
1.609	1	0	9	510.741	0
1.61	1	0	10	354.711	0
1.611	1	0	11	435.443	0
1.612	1	0	12	4324.87	0
1.613	1	0	13	386.407	0
1.614	1	0	14	5324.97	0
1.615	1	0	15	602.506	0
1.616	1	0	16	333.861	0
1.617	1	0	17	373.63	0
1.618	1	0	18	481.201	0
1.619	1	0	19	1249.38	0
1.62	1	0	20	484.654	0
1.621	1	0	21	2467.32	0
1.622	1	0	22	443.737	0
1.623	1	0	23	410.331	0
1.624	1	0	24	275.405	0
1.625	1	0	25	1062.33	0
1.626	1	0	26	651.725	0
1.627	1	0	27	761.836	0
1.628	1	0	28	479.25	0
1.629	1	0	29	1012.03	0
1.63	1	0	30	304.15	0
1.921	1	0	1	482.738	0
1.922	1	0	2	5315.91	0
1.923	1	0	3	328.973	0
1.924	1	0	4	569.526	0
1.925	1	0	5	310.215	0
1.926	1	0	6	1313.52	0
1.927	1	0	7	397.559	0
1.928	1	0	8	440.07	0
1.929	1	0	9	510.741	0
1.93	1	0	10	351.606	0
1.931	1	0	11	435.549	0
1.932	1	0	12	4324.87	0
1.933	1	0	13	386.76	0
1.934	1	0	14	5324.97	0
1.935	1	0	15	602.506	0
1.936	1	0	16	333.861	0
1.937	1	0	17	374.205	0
1.938	1	0	18	481.201	0
1.939	1	0	19	1244.01	0
1.94	1	0	20	484.654	0
1.941	1	0	21	2465.04	0
1.942	1	0	22	443.557	0
1.943	1	0	23	410.331	0
1.944	1	0	24	275.405	0
1.945	1	0	25	1062.33	0
1.946	1	0	26	651.725	0
1.947	1	0	27	762.56	0
1.948	1	0	28	477.784	0
1.949	1	0	29	1011.95	0
1.95	1	0	30	303.194	0
2.241	1	0	1	480.804	0
2.242	1	0	2	5316.93	0
2.243	1	0	3	329.85	0
2.244	1	0	4	577.938	0
2.245	1	0	5	310.381	0
2.246	1	0	6	1313.4	0
2.247	1	0	7	402.758	0
2.248	1	0	8	440.839	0
2.249	1	0	9	510.741	0
2.25	1	0	10	348.537	0
2.251	1	0	11	435.655	0
2.252	1	0	12	4324.87	0
2.253	1	0	13	387.113	0
2.254	1	0	14	5324.97	0
2.255	1	0	15	602.506	0
2.256	1	0	16	333.861	0
2.257	1	0	17	374.782	0
2.258	1	0	18	481.201	0
2.259	1	0	19	1238.67	0
2.26	1	0	20	484.654	0
2.261	1	0	21	2462.71	0
2.262	1	0	22	443.378	0
2.263	1	0	23	410.331	0
2.264	1	0	24	275.405	0
2.265	1	0	25	1062.33	0
2.266	1	0	26	651.725	0
2.267	1	0	27	763.259	0
2.268	1	0	28	476.323	0
2.269	1	0	29	1011.88	0
2.27	1	0	30	302.243	0
2.561	1	0	1	478.88	0
2.562	1	0	2	5317.73	0
2.563	1	0	3	330.726	0
2.564	1	0	4	581.256	0
2.565	1	0	5	310.545	0
2.566	1	0	6	1313.29	0
2.567	1	0	7	406.79	0
2.568	1	0	8	441.605	0
2.569	1	0	9	510.741	0
2.57	1	0	10	345.506	0
2.571	1	0	11	435.761	0
2.572	1	0	12	4324.87	0
2.573	1	0	13	387.467	0
2.574	1	0	14	5324.97	0
2.575	1	0	15	602.506	0
2.576	1	0	16	333.861	0
2.577	1	0	17	375.36	0
2.578	1	0	18	481.201	0
2.579	1	0	19	1233.37	0
2.58	1	0	20	484.654	0
2.581	1	0	21	2460.32	0
2.582	1	0	22	443.197	0
2.583	1	0	23	410.331	0
2.584	1	0	24	275.405	0
2.585	1	0	25	1062.33	0
2.586	1	0	26	651.725	0
2.587	1	0	27	763.933	0
2.588	1	0	28	474.869	0
2.589	1	0	29	1011.8	0
2.59	1	0	30	301.296	0
2.881	1	0	1	476.967	0
2.882	1	0	2	5332.22	0
2.883	1	0	3	331.598	0
2.884	1	0	4	584.598	0
2.885	1	0	5	310.707	0
2.886	1	0	6	1313.18	0
2.887	1	0	7	406.615	0
2.888	1	0	8	442.367	0
2.889	1	0	9	510.741	0
2.89	1	0	10	342.51	0
2.891	1	0	11	435.866	0
2.892	1	0	12	4324.87	0
2.893	1	0	13	387.82	0
2.894	1	0	14	5324.98	0
2.895	1	0	15	602.506	0
2.896	1	0	16	333.861	0
2.897	1	0	17	375.939	0
2.898	1	0	18	481.201	0
2.899	1	0	19	1228.1	0
2.9	1	0	20	484.654	0
2.901	1	0	21	2457.87	0
2.902	1	0	22	443.016	0
2.903	1	0	23	410.331	0
2.904	1	0	24	275.405	0
2.905	1	0	25	1062.33	0
2.906	1	0	26	651.725	0
2.907	1	0	27	764.582	0
2.908	1	0	28	473.42	0
2.909	1	0	29	1011.72	0
2.91	1	0	30	300.352	0
3.201	1	0	1	475.064	0
3.202	1	0	2	5333.22	0
3.203	1	0	3	332.468	0
3.204	1	0	4	587.963	0
3.205	1	0	5	310.866	0
3.206	1	0	6	1313.06	0
3.207	1	0	7	406.397	0
3.208	1	0	8	443.126	0
3.209	1	0	9	510.741	0
3.21	1	0	10	339.215	0
3.211	1	0	11	435.972	0
3.212	1	0	12	4324.87	0
3.213	1	0	13	388.175	0
3.214	1	0	14	5324.98	0
3.215	1	0	15	602.506	0
3.216	1	0	16	333.861	0
3.217	1	0	17	376.519	0
3.218	1	0	18	481.201	0
3.219	1	0	19	1222.86	0
3.22	1	0	20	484.654	0
3.221	1	0	21	2455.36	0
3.222	1	0	22	442.835	0
3.223	1	0	23	410.331	0
3.224	1	0	24	275.405	0
3.225	1	0	25	1062.33	0
3.226	1	0	26	651.725	0
3.227	1	0	27	765.206	0
3.228	1	0	28	471.978	0
3.229	1	0	29	1011.63	0
3.23	1	0	30	299.413	0
3.521	1	0	1	473.17	0
3.522	1	0	2	5334.49	0
3.523	1	0	3	333.336	0
3.524	1	0	4	591.352	0
3.525	1	0	5	311.022	0
3.526	1	0	6	1312.94	0
3.527	1	0	7	406.138	0
3.528	1	0	8	443.882	0
3.529	1	0	9	510.741	0
3.53	1	0	10	334.931	0
3.531	1	0	11	436.078	0
3.532	1	0	12	4324.87	0
3.533	1	0	13	388.53	0
3.534	1	0	14	5324.98	0
3.535	1	0	15	602.506	0
3.536	1	0	16	333.861	0
3.537	1	0	17	377.1	0
3.538	1	0	18	481.201	0
3.539	1	0	19	1217.66	0
3.54	1	0	20	484.654	0
3.541	1	0	21	2452.79	0
3.542	1	0	22	442.653	0
3.543	1	0	23	410.331	0
3.544	1	0	24	275.405	0
3.545	1	0	25	1062.33	0
3.546	1	0	26	651.725	0
3.547	1	0	27	765.803	0
3.548	1	0	28	470.541	0
3.549	1	0	29	1011.54	0
3.55	1	0	30	298.478	0
3.841	1	0	1	471.287	0
3.842	1	0	2	5336.17	0
3.843	1	0	3	334.2	0
3.844	1	0	4	594.764	0
3.845	1	0	5	311.176	0
3.846	1	0	6	1312.82	0
3.847	1	0	7	405.837	0
3.848	1	0	8	444.634	0
3.849	1	0	9	510.741	0
3.85	1	0	10	330.728	0
3.851	1	0	11	436.184	0
3.852	1	0	12	4324.87	0
3.853	1	0	13	388.885	0
3.854	1	0	14	5324.98	0
3.855	1	0	15	602.506	0
3.856	1	0	16	333.861	0
3.857	1	0	17	377.682	0
3.858	1	0	18	481.201	0
3.859	1	0	19	1212.48	0
3.86	1	0	20	484.654	0
3.861	1	0	21	2450.17	0
3.862	1	0	22	442.47	0
3.863	1	0	23	410.331	0
3.864	1	0	24	275.405	0
3.865	1	0	25	1062.33	0
